AGNO;RBD;DGV_RBD;NOM_RBD;COD_REG_RBD;COD_PRO_RBD;COD_COM_RBD;NOM_COM_RBD;COD_DEPROV_RBD;NOM_DEPROV_RBD;COD_DEPE;COD_DEPE2;RURAL_RBD;ESTADO_ESTAB;CONVENIO_SEP;AÑO_INGRESO_SEP;CLASIFICACION_SEP;EE_GRATUITO;N_PRIO;N_PRIO_BEN;N_PREF;N_PREF_BEN;N_BEN
2019;9704;7;ESCUELA LO VALLEDOR;13;131;13121;PEDRO AGUIRRE CERDA;131;SANTIAGO CENTRO;2;1;0;1;1;2008;RECUPERACION;1;58;58;24;24;82
2019;9705;5;ESCUELA BASICA SALOMON SACK;13;131;13116;LO ESPEJO;132;SANTIAGO SUR;2;1;0;1;1;2008;EMERGENTE;1;167;167;37;37;204
2019;9706;3;ESCUELA BAS. OSCAR ENCALADA YOVANOVICH;13;131;13109;LA CISTERNA;132;SANTIAGO SUR;2;1;0;1;1;2008;RECUPERACION;1;159;159;73;73;232
2019;9709;8;ESCUELA BLUE STAR COLLEGE;13;131;13116;LO ESPEJO;132;SANTIAGO SUR;2;1;0;1;1;2008;EMERGENTE;1;113;113;16;16;129
2019;9710;1;ESCUELA BASICA SANTA ADRIANA;13;131;13116;LO ESPEJO;132;SANTIAGO SUR;2;1;0;1;1;2008;RECUPERACION;1;125;125;19;19;144
2019;9713;6;COMPLEJO EDUCACIONAL FELIPE HERRERA LANE;13;131;13105;EL BOSQUE;132;SANTIAGO SUR;2;1;0;1;1;2008;RECUPERACION;1;195;105;51;35;140
2019;9714;4;ESCUELA BASICA JOSE MARTI;13;131;13105;EL BOSQUE;132;SANTIAGO SUR;2;1;0;1;1;2008;EMERGENTE;1;304;304;87;87;391
2019;9715;2;ESCUELA BASICA VILLA SANTA ELENA;13;131;13105;EL BOSQUE;132;SANTIAGO SUR;2;1;0;1;1;2008;RECUPERACION;1;188;188;35;35;223
2019;9716;0;ESCUELA BASICA ACAPULCO;13;131;13116;LO ESPEJO;132;SANTIAGO SUR;2;1;0;1;1;2008;RECUPERACION;1;191;191;59;59;250
2019;9717;9;ESCUELA CIUDAD DE LYON;13;131;13105;EL BOSQUE;132;SANTIAGO SUR;2;1;0;1;1;2008;EMERGENTE;1;224;224;36;36;260
